country,year,value,indicator
Indonesia,2023,2.20494322070553,NY.GNP.PCAP.KD.ZG
Indonesia,2022,4.95859305301028,NY.GNP.PCAP.KD.ZG
Indonesia,2021,4.53641079815503,NY.GNP.PCAP.KD.ZG
Indonesia,2020,-2.11731454710088,NY.GNP.PCAP.KD.ZG
Indonesia,2019,3.2608395045981,NY.GNP.PCAP.KD.ZG
Indonesia,2018,3.27823048197477,NY.GNP.PCAP.KD.ZG
Indonesia,2017,4.03571903706165,NY.GNP.PCAP.KD.ZG
Indonesia,2016,4.38391886596452,NY.GNP.PCAP.KD.ZG
Indonesia,2015,4.01938483554029,NY.GNP.PCAP.KD.ZG
Malaysia,2025,5.17127082911057,NY.GDP.MKTP.KD.ZG
Malaysia,2024,5.10545921024041,NY.GDP.MKTP.KD.ZG
Malaysia,2023,3.5370638041057,NY.GDP.MKTP.KD.ZG
Malaysia,2022,9.03173723044451,NY.GDP.MKTP.KD.ZG
Malaysia,2021,3.31534954399166,NY.GDP.MKTP.KD.ZG
Malaysia,2020,-5.45684658426701,NY.GDP.MKTP.KD.ZG
Malaysia,2019,4.41318742129586,NY.GDP.MKTP.KD.ZG
Malaysia,2018,4.84308697634881,NY.GDP.MKTP.KD.ZG
Malaysia,2017,5.81272240983328,NY.GDP.MKTP.KD.ZG
Malaysia,2016,4.44978139761541,NY.GDP.MKTP.KD.ZG
Malaysia,2015,5.09153242155011,NY.GDP.MKTP.KD.ZG
Malaysia,2025,3.32480500945174,NY.GNP.PCAP.KD.ZG
Malaysia,2024,3.39735172022296,NY.GNP.PCAP.KD.ZG
Malaysia,2023,2.51477535855726,NY.GNP.PCAP.KD.ZG
Malaysia,2022,7.20336099140685,NY.GNP.PCAP.KD.ZG
Malaysia,2021,1.63987962263275,NY.GNP.PCAP.KD.ZG
Malaysia,2020,-6.22516208039252,NY.GNP.PCAP.KD.ZG
Malaysia,2019,3.35801984654114,NY.GNP.PCAP.KD.ZG
Malaysia,2018,2.40393798600063,NY.GNP.PCAP.KD.ZG
Malaysia,2017,3.9625700815881,NY.GNP.PCAP.KD.ZG
Malaysia,2016,3.95277620305521,NY.GNP.PCAP.KD.ZG
Malaysia,2015,,NY.GNP.PCAP.KD.ZG
